
Respondent_ID,Age,Gender,City_Tier,Employment_Type,Monthly_Income_INR,Monthly_Expenses_INR,Savings_Percentage,Investment_Type,Has_Health_Insurance,Has_Life_Insurance,Has_Emergency_Fund,Debt_Status,Monthly_Debt_Payment_INR,Financial_Literacy_Score,Uses_Financial_Apps,Primary_Financial_Goal,Risk_Tolerance_Level,Savings_Channel,Region
183,52,Male,Tier 1,Self-Employed,78185,80411,28,Stocks,No,No,Yes,No Debt,18268,7,Yes,Home Purchase,High,Digital Wallet,East
184,24,Other,Tier 1,Self-Employed,87567,86441,37,Cryptocurrency,Yes,Yes,Yes,Personal Loan,48927,10,No,Retirement,Low,Cash,South
185,31,Female,Tier 3,Self-Employed,193646,56121,22,Cryptocurrency,Yes,No,Yes,Home Loan,14263,8,Yes,Business,Medium,Bank Account,West
186,37,Male,Tier 1,Salaried,51182,70197,32,Gold,Yes,Yes,Yes,Credit Card Debt,5399,8,No,Business,Medium,Investment Platform,West
187,58,Female,Tier 2,Salaried,131136,94577,36,Stocks,Yes,Yes,No,No Debt,29811,4,Yes,Home Purchase,Low,Bank Account,West
188,44,Female,Tier 2,Unemployed,146642,104634,16,Stocks,Yes,No,Yes,Home Loan,29006,7,No,Retirement,High,Digital Wallet,West
189,25,Male,Tier 1,Student,34288,110211,46,Fixed Deposit,No,No,No,No Debt,41271,10,Yes,Retirement,Medium,Investment Platform,West
190,54,Female,Tier 3,Student,93824,145909,31,Fixed Deposit,No,Yes,Yes,Credit Card Debt,1076,1,Yes,Home Purchase,Medium,Cash,Central
191,26,Female,Tier 1,Self-Employed,175949,11466,14,Gold,No,Yes,Yes,No Debt,7235,6,Yes,Education,Medium,Bank Account,East
192,42,Male,Tier 2,Salaried,99425,40771,46,Mutual Funds,No,No,No,No Debt,23221,6,No,Education,Low,Bank Account,South
193,31,Female,Tier 3,Self-Employed,15917,93886,36,None,No,No,Yes,Home Loan,16417,6,No,Retirement,Low,Cash,West
194,36,Male,Tier 2,Unemployed,90602,75911,46,Mutual Funds,Yes,No,Yes,Personal Loan,32539,2,Yes,Education,Medium,Bank Account,Central
195,53,Female,Tier 3,Student,79575,98422,30,Mutual Funds,No,No,No,No Debt,34609,8,Yes,Education,High,Bank Account,Central
196,29,Other,Tier 1,Student,87518,83369,29,Stocks,No,Yes,No,Credit Card Debt,37249,5,Yes,Education,High,Bank Account,Central
197,26,Female,Tier 2,Self-Employed,54104,11893,15,None,No,Yes,No,No Debt,33902,5,Yes,Retirement,Low,Investment Platform,East
198,36,Male,Tier 1,Unemployed,164134,40573,27,Stocks,Yes,No,Yes,No Debt,23645,2,Yes,Education,Medium,Investment Platform,West
199,49,Female,Tier 2,Student,31999,106907,38,None,Yes,No,Yes,Personal Loan,21682,4,Yes,Business,Low,Digital Wallet,Central
200,23,Female,Tier 3,Unemployed,156013,109956,44,Cryptocurrency,No,Yes,No,Home Loan,45907,9,No,Wealth Accumulation,Low,Bank Account,Central
201,40,Male,Tier 1,Unemployed,76169,128580,27,Stocks,No,Yes,No,Credit Card Debt,23401,9,Yes,Retirement,Medium,Digital Wallet,West
202,56,Female,Tier 2,Self-Employed,169542,101404,33,Stocks,No,No,Yes,Home Loan,7771,6,Yes,Home Purchase,Medium,Investment Platform,East
203,39,Male,Tier 1,Salaried,144744,67724,35,Stocks,Yes,Yes,No,Home Loan,41335,9,Yes,Education,Low,Bank Account,Central
204,46,Female,Tier 2,Self-Employed,125684,96133,11,Gold,Yes,Yes,Yes,Home Loan,8915,4,No,Travel,Medium,Digital Wallet,South
205,23,Male,Tier 2,Salaried,74821,25989,44,Stocks,Yes,Yes,Yes,No Debt,13898,1,No,Retirement,Medium,Bank Account,North
206,39,Male,Tier 3,Unemployed,190507,38931,37,Fixed Deposit,No,No,Yes,Personal Loan,1913,2,Yes,Home Purchase,Low,Bank Account,North
207,40,Male,Tier 2,Salaried,150601,19290,25,Fixed Deposit,Yes,No,Yes,No Debt,37065,1,No,Wealth Accumulation,Medium,Cash,North
208,52,Female,Tier 1,Unemployed,27192,131136,6,None,Yes,Yes,Yes,Credit Card Debt,27068,8,No,Business,Low,Digital Wallet,East
209,27,Male,Tier 1,Student,89102,89878,22,Cryptocurrency,No,No,Yes,Personal Loan,1942,9,Yes,Home Purchase,Medium,Investment Platform,Central
210,53,Female,Tier 1,Student,129894,100477,37,Gold,Yes,No,Yes,Home Loan,20388,10,Yes,Education,High,Digital Wallet,North
211,59,Male,Tier 1,Student,101795,136299,41,None,No,Yes,No,Personal Loan,17715,6,No,Travel,Medium,Digital Wallet,North
212,38,Male,Tier 1,Self-Employed,180159,115686,38,Fixed Deposit,Yes,No,No,Credit Card Debt,337,2,Yes,Education,High,Digital Wallet,West
213,21,Female,Tier 3,Self-Employed,81677,117286,24,Gold,No,Yes,No,No Debt,47024,6,Yes,Home Purchase,Low,Cash,Central
214,31,Female,Tier 2,Unemployed,150699,50475,39,Gold,Yes,Yes,No,No Debt,23450,9,Yes,Retirement,Medium,Bank Account,Central
215,48,Male,Tier 2,Student,149327,92666,22,Cryptocurrency,No,Yes,Yes,Home Loan,10057,3,Yes,Travel,Medium,Investment Platform,West
216,45,Female,Tier 1,Self-Employed,151285,106622,28,Gold,No,Yes,Yes,No Debt,27713,9,No,Travel,Medium,Cash,Central
217,43,Female,Tier 3,Student,117412,145705,12,Stocks,Yes,Yes,No,No Debt,8983,2,Yes,Home Purchase,High,Investment Platform,South
218,51,Female,Tier 2,Self-Employed,34404,117573,34,Gold,Yes,No,Yes,Credit Card Debt,19995,5,Yes,Wealth Accumulation,Medium,Cash,East
219,50,Male,Tier 1,Salaried,131545,56546,48,Cryptocurrency,Yes,No,Yes,Personal Loan,49051,2,No,Wealth Accumulation,Medium,Bank Account,West
220,55,Male,Tier 2,Salaried,171452,17008,14,None,No,No,Yes,No Debt,36468,7,Yes,Education,Low,Investment Platform,North
221,27,Female,Tier 2,Student,165245,58291,27,Cryptocurrency,No,Yes,No,Credit Card Debt,26092,10,Yes,Home Purchase,Low,Digital Wallet,Central
222,36,Male,Tier 1,Unemployed,199099,46386,15,Cryptocurrency,Yes,Yes,Yes,Credit Card Debt,12145,9,No,Travel,Medium,Cash,South
223,46,Female,Tier 2,Self-Employed,38989,100909,6,Fixed Deposit,Yes,Yes,No,Home Loan,38886,7,Yes,Home Purchase,Medium,Investment Platform,South
224,22,Female,Tier 2,Self-Employed,123106,43040,30,Stocks,Yes,Yes,Yes,Credit Card Debt,23489,5,Yes,Travel,High,Bank Account,East
225,21,Female,Tier 1,Salaried,39519,70354,40,Fixed Deposit,No,Yes,No,Home Loan,31036,4,Yes,Education,Low,Investment Platform,South
226,32,Female,Tier 3,Salaried,37439,88543,37,None,No,No,No,No Debt,29613,4,Yes,Retirement,Low,Cash,Central
227,25,Other,Tier 3,Unemployed,133570,28157,17,Mutual Funds,Yes,No,No,Home Loan,28484,10,No,Retirement,Medium,Bank Account,Central
228,57,Male,Tier 2,Unemployed,29995,45315,44,None,Yes,Yes,Yes,Credit Card Debt,2673,8,Yes,Home Purchase,High,Digital Wallet,South
229,52,Female,Tier 2,Unemployed,38559,45932,29,Stocks,Yes,Yes,Yes,Personal Loan,34890,10,Yes,Travel,High,Cash,Central
230,29,Male,Tier 2,Student,104049,123880,8,Gold,Yes,No,No,Personal Loan,11977,10,Yes,Retirement,Low,Cash,Central
231,55,Male,Tier 2,Salaried,151093,142018,46,Cryptocurrency,Yes,Yes,Yes,No Debt,23466,10,Yes,Travel,Low,Bank Account,North
232,39,Female,Tier 2,Student,113000,24693,23,Mutual Funds,Yes,No,Yes,No Debt,41018,10,No,Education,Medium,Cash,West
233,36,Female,Tier 1,Salaried,167191,37241,22,Stocks,Yes,No,Yes,Personal Loan,27009,10,No,Home Purchase,Low,Investment Platform,Central
234,23,Other,Tier 2,Salaried,197611,125194,41,Fixed Deposit,Yes,No,No,Home Loan,3688,1,No,Travel,High,Digital Wallet,Central
235,40,Female,Tier 3,Self-Employed,54350,105790,34,Cryptocurrency,Yes,Yes,Yes,No Debt,3748,5,Yes,Home Purchase,Medium,Investment Platform,East
236,44,Male,Tier 2,Salaried,192295,82255,23,None,Yes,No,No,Credit Card Debt,39110,2,No,Travel,Low,Bank Account,West
237,53,Male,Tier 1,Salaried,40517,21350,27,Fixed Deposit,Yes,Yes,Yes,No Debt,49043,9,Yes,Wealth Accumulation,Low,Cash,West
238,44,Female,Tier 3,Student,168322,66809,20,Stocks,No,No,Yes,Home Loan,13665,7,No,Wealth Accumulation,Low,Digital Wallet,West
239,31,Male,Tier 1,Salaried,104132,111894,5,Stocks,No,Yes,No,No Debt,36898,10,No,Travel,High,Bank Account,South
240,28,Male,Tier 1,Student,74546,107557,16,None,Yes,Yes,Yes,Credit Card Debt,20641,8,Yes,Education,Low,Investment Platform,North
241,56,Male,Tier 1,Unemployed,120686,41728,28,Mutual Funds,Yes,Yes,Yes,Credit Card Debt,32500,6,Yes,Home Purchase,Low,Cash,North
242,58,Male,Tier 1,Salaried,103151,27576,38,None,No,Yes,No,Credit Card Debt,35797,9,Yes,Business,High,Cash,East
243,40,Male,Tier 3,Salaried,18327,93384,12,Gold,No,No,No,Home Loan,19230,6,Yes,Travel,Low,Bank Account,West
244,55,Male,Tier 2,Student,135318,10390,22,Fixed Deposit,Yes,No,Yes,Home Loan,45950,7,No,Travel,Medium,Investment Platform,West
245,45,Male,Tier 1,Unemployed,175840,55436,9,Mutual Funds,Yes,No,No,Credit Card Debt,25046,7,Yes,Wealth Accumulation,Low,Cash,Central
246,55,Male,Tier 3,Self-Employed,188860,21569,30,Cryptocurrency,Yes,Yes,No,Credit Card Debt,36803,9,Yes,Retirement,Medium,Investment Platform,South
247,45,Other,Tier 3,Unemployed,130945,32490,34,Gold,Yes,No,No,Home Loan,47895,8,Yes,Wealth Accumulation,Low,Digital Wallet,South
248,49,Male,Tier 3,Student,61830,55875,17,Mutual Funds,Yes,Yes,Yes,Home Loan,35667,1,No,Home Purchase,Low,Cash,East
249,38,Male,Tier 1,Unemployed,67446,15867,23,Fixed Deposit,Yes,No,Yes,Home Loan,9638,4,Yes,Wealth Accumulation,Medium,Digital Wallet,North
250,38,Female,Tier 2,Student,161232,90820,33,Stocks,No,No,No,Personal Loan,20827,7,Yes,Business,Low,Cash,West
251,22,Male,Tier 3,Student,180070,109515,7,Cryptocurrency,Yes,Yes,No,Home Loan,21173,8,Yes,Education,Medium,Bank Account,East
252,55,Female,Tier 3,Self-Employed,173302,19121,30,None,Yes,No,Yes,Credit Card Debt,13222,7,Yes,Business,Low,Cash,South
253,36,Female,Tier 1,Salaried,155148,11539,44,Fixed Deposit,Yes,Yes,Yes,Personal Loan,37010,3,Yes,Education,Medium,Cash,South
254,56,Male,Tier 1,Student,84341,137402,16,Gold,Yes,Yes,Yes,Home Loan,18095,4,No,Business,High,Investment Platform,South
255,53,Male,Tier 2,Student,46085,84229,6,Gold,Yes,Yes,Yes,Credit Card Debt,1439,7,Yes,Wealth Accumulation,Low,Investment Platform,West
256,24,Female,Tier 3,Self-Employed,70571,149993,15,Stocks,Yes,Yes,Yes,No Debt,38381,8,Yes,Business,Low,Digital Wallet,West
257,53,Female,Tier 2,Student,160787,60435,48,Stocks,No,No,Yes,Personal Loan,20014,7,Yes,Wealth Accumulation,High,Digital Wallet,West
258,34,Male,Tier 2,Salaried,143308,73965,32,Cryptocurrency,Yes,Yes,No,Credit Card Debt,5375,6,Yes,Wealth Accumulation,Medium,Digital Wallet,Central
259,41,Female,Tier 1,Self-Employed,20750,121048,22,None,No,Yes,Yes,No Debt,23487,9,Yes,Home Purchase,Low,Cash,North
260,40,Male,Tier 2,Salaried,128931,106444,17,Cryptocurrency,No,No,No,Credit Card Debt,41645,9,Yes,Wealth Accumulation,Medium,Cash,South
261,28,Other,Tier 3,Salaried,93768,79922,41,Stocks,Yes,No,Yes,Home Loan,25702,7,Yes,Retirement,Low,Digital Wallet,South
262,27,Male,Tier 1,Self-Employed,50903,107799,26,Stocks,Yes,No,Yes,Home Loan,20600,8,Yes,Business,Low,Bank Account,Central
263,23,Female,Tier 3,Student,178165,103948,16,Gold,Yes,No,Yes,No Debt,2466,6,Yes,Travel,High,Bank Account,South
264,37,Female,Tier 3,Salaried,106036,18947,6,Stocks,No,No,Yes,Home Loan,40592,1,No,Travel,Medium,Cash,South
265,53,Female,Tier 1,Salaried,102954,58785,41,Mutual Funds,No,Yes,No,Credit Card Debt,45097,1,Yes,Travel,Medium,Bank Account,West
266,32,Female,Tier 2,Salaried,180386,129963,11,Fixed Deposit,No,Yes,No,No Debt,44398,6,No,Retirement,Low,Bank Account,West
267,42,Male,Tier 1,Salaried,194297,10507,30,Stocks,Yes,Yes,Yes,Credit Card Debt,46971,2,No,Wealth Accumulation,Low,Digital Wallet,North
268,42,Male,Tier 3,Self-Employed,98014,21618,30,Cryptocurrency,No,Yes,Yes,Credit Card Debt,6928,8,Yes,Business,High,Bank Account,South
269,50,Male,Tier 2,Self-Employed,181251,84286,28,None,Yes,No,Yes,Credit Card Debt,22480,1,No,Education,Low,Bank Account,East
270,58,Male,Tier 2,Unemployed,132305,26122,16,None,Yes,Yes,No,Home Loan,9111,2,Yes,Education,Low,Cash,South
271,58,Female,Tier 3,Unemployed,171410,148426,20,None,Yes,No,No,Home Loan,40888,8,Yes,Home Purchase,Low,Cash,South
272,28,Male,Tier 1,Salaried,47101,119598,27,Mutual Funds,Yes,Yes,Yes,Credit Card Debt,29489,6,Yes,Retirement,Medium,Cash,North
273,47,Male,Tier 3,Student,17775,96436,44,Cryptocurrency,No,Yes,No,Personal Loan,43832,10,Yes,Business,Low,Bank Account,East
274,47,Other,Tier 2,Salaried,126497,146109,13,Mutual Funds,Yes,Yes,No,Credit Card Debt,9404,2,Yes,Wealth Accumulation,Low,Digital Wallet,South
275,54,Female,Tier 1,Student,60619,38633,36,Stocks,Yes,No,Yes,Credit Card Debt,33639,2,Yes,Travel,High,Investment Platform,East
276,41,Female,Tier 2,Salaried,191910,34495,19,Fixed Deposit,Yes,No,Yes,No Debt,12582,7,Yes,Retirement,Medium,Cash,West
277,50,Other,Tier 3,Unemployed,165611,74550,41,None,No,No,No,Credit Card Debt,863,5,Yes,Retirement,Low,Cash,West
278,53,Male,Tier 1,Unemployed,72124,46483,17,Cryptocurrency,No,Yes,No,Home Loan,47651,5,Yes,Business,Medium,Cash,East
279,48,Male,Tier 3,Student,80149,123181,9,None,Yes,No,Yes,No Debt,44913,8,Yes,Wealth Accumulation,Low,Digital Wallet,South
280,53,Female,Tier 3,Salaried,41616,44069,15,Mutual Funds,Yes,Yes,Yes,Personal Loan,27684,7,Yes,Home Purchase,Medium,Investment Platform,East
281,25,Female,Tier 1,Student,183171,148442,14,Gold,Yes,Yes,Yes,No Debt,3055,9,Yes,Wealth Accumulation,Medium,Investment Platform,East
282,39,Male,Tier 3,Unemployed,76799,129873,17,Stocks,No,No,Yes,Personal Loan,12186,4,Yes,Home Purchase,Low,Cash,West
283,24,Female,Tier 1,Salaried,105221,126843,45,Fixed Deposit,Yes,Yes,No,No Debt,2682,10,Yes,Home Purchase,Low,Bank Account,East
284,55,Male,Tier 1,Salaried,129879,81947,19,Stocks,Yes,No,Yes,No Debt,45650,4,No,Travel,Medium,Cash,Central
285,37,Male,Tier 1,Student,40479,105761,46,Gold,Yes,Yes,No,Personal Loan,38046,2,No,Travel,High,Cash,Central
286,48,Female,Tier 3,Self-Employed,192244,123753,11,Fixed Deposit,Yes,No,No,Home Loan,46573,3,Yes,Business,Medium,Bank Account,West
287,50,Female,Tier 2,Student,114165,141764,44,Gold,No,No,Yes,Home Loan,21832,1,No,Wealth Accumulation,Low,Bank Account,South
288,49,Female,Tier 1,Unemployed,70863,38926,32,Stocks,Yes,Yes,Yes,Home Loan,16997,1,Yes,Home Purchase,Low,Cash,South
289,26,Male,Tier 2,Unemployed,188115,109782,36,Mutual Funds,Yes,No,Yes,No Debt,34640,7,Yes,Business,Low,Digital Wallet,West
290,55,Female,Tier 2,Unemployed,97569,114700,39,Stocks,Yes,Yes,No,Credit Card Debt,11346,5,No,Home Purchase,Low,Digital Wallet,South
291,57,Male,Tier 1,Unemployed,161480,83984,19,Stocks,Yes,No,Yes,No Debt,40491,3,Yes,Retirement,Medium,Bank Account,North
292,44,Male,Tier 3,Unemployed,31351,59593,40,Stocks,No,Yes,No,Credit Card Debt,46639,7,No,Education,Medium,Cash,Central
293,49,Female,Tier 3,Self-Employed,150203,85609,25,Cryptocurrency,Yes,Yes,No,Credit Card Debt,48714,2,Yes,Education,Low,Digital Wallet,North
294,51,Female,Tier 2,Salaried,59825,15209,10,Gold,No,Yes,Yes,Home Loan,7189,3,Yes,Home Purchase,Low,Cash,North
295,55,Female,Tier 3,Student,26349,136700,5,Gold,No,Yes,No,Credit Card Debt,45520,1,Yes,Business,Medium,Cash,North
296,53,Female,Tier 2,Student,59254,147605,8,None,Yes,No,No,No Debt,44333,8,Yes,Travel,Low,Cash,West
297,41,Female,Tier 3,Unemployed,53225,96597,15,Gold,Yes,Yes,Yes,No Debt,21770,2,Yes,Wealth Accumulation,High,Digital Wallet,North
298,52,Female,Tier 2,Student,27453,17211,48,None,Yes,Yes,Yes,Home Loan,39710,7,Yes,Home Purchase,Medium,Investment Platform,East
299,43,Male,Tier 2,Unemployed,164886,19927,30,Cryptocurrency,No,Yes,No,Personal Loan,47498,9,No,Home Purchase,High,Cash,South
300,53,Male,Tier 1,Self-Employed,164335,127333,41,Mutual Funds,Yes,Yes,No,No Debt,44151,6,Yes,Wealth Accumulation,High,Digital Wallet,West
301,23,Male,Tier 3,Self-Employed,92694,86382,27,None,Yes,No,Yes,Credit Card Debt,244,2,Yes,Travel,High,Investment Platform,East
302,38,Male,Tier 2,Salaried,30735,149005,33,Stocks,Yes,No,Yes,No Debt,32788,2,Yes,Home Purchase,Low,Bank Account,East
303,45,Female,Tier 1,Self-Employed,161902,113780,25,Mutual Funds,No,Yes,Yes,No Debt,29805,9,No,Retirement,High,Digital Wallet,Central
304,51,Female,Tier 1,Self-Employed,62893,50696,49,Cryptocurrency,Yes,No,No,No Debt,13917,10,Yes,Travel,Low,Investment Platform,Central
305,23,Male,Tier 2,Salaried,190745,77616,49,Gold,Yes,No,Yes,Personal Loan,46489,8,Yes,Retirement,Low,Digital Wallet,East
306,44,Male,Tier 2,Student,142006,147161,31,None,Yes,Yes,Yes,Credit Card Debt,5767,9,No,Education,Medium,Investment Platform,Central
307,52,Female,Tier 2,Unemployed,60066,148869,43,Stocks,Yes,No,No,Home Loan,28390,4,Yes,Wealth Accumulation,Low,Investment Platform,South
308,42,Male,Tier 3,Unemployed,149445,60013,44,Fixed Deposit,No,Yes,Yes,No Debt,10247,4,Yes,Travel,Low,Digital Wallet,South
309,43,Female,Tier 1,Student,156407,149418,17,Fixed Deposit,Yes,No,No,Credit Card Debt,3515,2,No,Travel,Low,Bank Account,Central
310,22,Female,Tier 2,Salaried,169813,59556,27,Mutual Funds,No,No,Yes,Credit Card Debt,34678,10,No,Business,Low,Cash,North
311,47,Female,Tier 1,Student,25692,133723,20,Gold,No,Yes,No,Home Loan,22266,1,Yes,Business,Medium,Investment Platform,East
312,22,Female,Tier 3,Self-Employed,193367,36140,34,Fixed Deposit,Yes,No,Yes,No Debt,10750,10,Yes,Wealth Accumulation,Low,Cash,South
313,46,Female,Tier 3,Salaried,60541,11184,8,Mutual Funds,No,No,No,Personal Loan,29583,4,No,Travel,Medium,Bank Account,Central
314,37,Male,Tier 2,Salaried,180129,121361,44,Cryptocurrency,Yes,Yes,No,Credit Card Debt,8076,10,Yes,Education,High,Cash,Central
315,53,Female,Tier 2,Salaried,81983,15606,20,Mutual Funds,Yes,No,Yes,Home Loan,18006,10,No,Home Purchase,Medium,Cash,South
316,29,Female,Tier 1,Unemployed,165655,145028,35,Mutual Funds,No,Yes,Yes,Personal Loan,15051,8,Yes,Wealth Accumulation,Medium,Digital Wallet,South
317,59,Male,Tier 2,Student,168837,26555,46,Mutual Funds,Yes,No,Yes,Credit Card Debt,4314,2,Yes,Wealth Accumulation,High,Digital Wallet,North
318,49,Female,Tier 3,Salaried,169978,100385,29,Stocks,Yes,No,Yes,No Debt,28670,8,Yes,Business,Low,Bank Account,Central
319,46,Female,Tier 2,Salaried,135747,68502,48,Mutual Funds,Yes,Yes,No,Credit Card Debt,35221,1,No,Education,Medium,Digital Wallet,Central
320,55,Female,Tier 1,Salaried,100103,113844,16,None,No,Yes,No,Personal Loan,2015,1,No,Wealth Accumulation,High,Investment Platform,West
321,45,Female,Tier 2,Student,192597,101321,30,Mutual Funds,Yes,No,Yes,Personal Loan,10236,4,Yes,Education,High,Bank Account,North
322,44,Female,Tier 3,Unemployed,184302,59056,41,Stocks,Yes,Yes,No,No Debt,35568,7,No,Wealth Accumulation,Medium,Digital Wallet,South
323,33,Female,Tier 1,Self-Employed,165592,108234,37,Stocks,Yes,Yes,No,No Debt,41791,9,Yes,Business,Low,Digital Wallet,South
324,27,Female,Tier 1,Unemployed,198006,51850,32,Cryptocurrency,No,Yes,No,Home Loan,44652,5,Yes,Home Purchase,High,Bank Account,East
325,56,Female,Tier 2,Salaried,40566,37843,13,Gold,No,Yes,Yes,No Debt,26367,2,No,Business,Low,Investment Platform,South
326,40,Female,Tier 3,Unemployed,88193,72320,16,Fixed Deposit,Yes,Yes,Yes,Home Loan,16352,7,No,Wealth Accumulation,Low,Bank Account,Central
327,21,Female,Tier 1,Unemployed,176206,39793,9,Fixed Deposit,No,Yes,Yes,Personal Loan,45650,2,No,Education,Low,Digital Wallet,South
328,28,Female,Tier 1,Self-Employed,156417,29627,32,Mutual Funds,Yes,Yes,Yes,Personal Loan,10346,9,No,Retirement,Medium,Digital Wallet,Central
329,36,Male,Tier 1,Student,136015,71822,39,Cryptocurrency,Yes,No,Yes,Credit Card Debt,25156,9,Yes,Business,Medium,Bank Account,Central
330,34,Female,Tier 1,Student,187257,65798,9,Mutual Funds,No,Yes,Yes,Credit Card Debt,14035,3,Yes,Education,High,Investment Platform,North
331,32,Female,Tier 2,Unemployed,145956,85318,38,Fixed Deposit,No,Yes,Yes,Home Loan,16108,8,No,Business,Medium,Investment Platform,South
332,43,Male,Tier 2,Unemployed,85744,114186,38,Stocks,No,Yes,No,No Debt,2853,4,Yes,Wealth Accumulation,Low,Cash,North
333,35,Female,Tier 2,Student,48455,97902,17,Gold,No,No,Yes,No Debt,18620,3,Yes,Education,Medium,Investment Platform,Central
334,48,Male,Tier 2,Student,174090,81334,43,Cryptocurrency,Yes,Yes,Yes,Credit Card Debt,4176,1,Yes,Home Purchase,Medium,Bank Account,South
335,54,Male,Tier 1,Self-Employed,69219,116719,46,Stocks,No,Yes,Yes,Personal Loan,34923,5,Yes,Education,Medium,Investment Platform,South
336,22,Female,Tier 3,Salaried,60991,133099,49,Gold,Yes,Yes,Yes,Home Loan,25920,4,No,Travel,High,Investment Platform,North
337,52,Male,Tier 2,Unemployed,88616,22720,18,Cryptocurrency,Yes,No,Yes,Personal Loan,6829,1,Yes,Retirement,High,Cash,North
338,43,Female,Tier 3,Student,102438,67608,15,Cryptocurrency,Yes,No,Yes,Personal Loan,34654,10,No,Wealth Accumulation,Medium,Investment Platform,Central
339,42,Female,Tier 2,Unemployed,131841,117449,46,Fixed Deposit,Yes,No,Yes,No Debt,39239,8,Yes,Education,Low,Cash,Central
340,45,Female,Tier 1,Unemployed,155558,112828,42,Stocks,Yes,No,Yes,Home Loan,25130,8,Yes,Wealth Accumulation,Medium,Cash,South
341,42,Male,Tier 2,Student,184934,136613,8,Cryptocurrency,Yes,No,Yes,Personal Loan,45357,8,Yes,Business,High,Investment Platform,South
342,42,Male,Tier 1,Self-Employed,73870,82095,37,None,Yes,Yes,Yes,Credit Card Debt,8391,3,Yes,Business,Low,Digital Wallet,West
343,26,Female,Tier 2,Unemployed,101694,115924,11,Cryptocurrency,Yes,No,No,Credit Card Debt,19324,6,Yes,Education,High,Bank Account,West
344,35,Other,Tier 1,Self-Employed,58856,106452,45,Gold,Yes,Yes,Yes,No Debt,46118,7,Yes,Travel,Low,Bank Account,East
345,57,Female,Tier 1,Student,116407,97593,12,Fixed Deposit,Yes,No,Yes,Credit Card Debt,40667,9,Yes,Education,Medium,Investment Platform,Central
346,53,Male,Tier 3,Salaried,46379,116975,41,Mutual Funds,Yes,No,Yes,Credit Card Debt,306,5,Yes,Home Purchase,Medium,Bank Account,East
347,28,Female,Tier 1,Salaried,79729,87242,14,Fixed Deposit,No,Yes,Yes,Personal Loan,35843,9,Yes,Travel,Medium,Bank Account,East
348,25,Female,Tier 3,Unemployed,174450,126041,47,Mutual Funds,No,Yes,Yes,Credit Card Debt,30543,6,Yes,Wealth Accumulation,High,Cash,North
349,59,Female,Tier 1,Student,69353,136202,19,Stocks,No,Yes,Yes,Credit Card Debt,7244,10,Yes,Education,Low,Digital Wallet,North
350,24,Male,Tier 2,Self-Employed,196068,87606,42,Stocks,Yes,No,No,Personal Loan,6611,10,Yes,Wealth Accumulation,Low,Bank Account,West
351,26,Female,Tier 2,Unemployed,29031,133769,19,Cryptocurrency,No,No,Yes,No Debt,22706,10,No,Retirement,Medium,Digital Wallet,East
352,52,Female,Tier 2,Student,80982,128542,9,None,Yes,No,Yes,No Debt,19076,4,Yes,Travel,Low,Bank Account,West
353,50,Other,Tier 1,Student,51683,116438,33,Stocks,Yes,Yes,No,Home Loan,46902,1,No,Education,Medium,Digital Wallet,Central
354,55,Male,Tier 1,Self-Employed,129091,10924,23,Cryptocurrency,Yes,No,No,Credit Card Debt,33043,1,No,Retirement,Low,Digital Wallet,South
355,36,Female,Tier 1,Unemployed,132797,61322,14,Fixed Deposit,No,No,Yes,Personal Loan,5271,10,Yes,Education,Low,Bank Account,North
356,33,Female,Tier 1,Student,163690,81042,16,Stocks,Yes,No,Yes,Home Loan,7331,5,No,Home Purchase,Medium,Cash,Central
357,50,Male,Tier 2,Student,21587,56418,8,Fixed Deposit,Yes,Yes,Yes,No Debt,11553,3,Yes,Business,Medium,Digital Wallet,Central
358,39,Female,Tier 3,Student,77790,110699,35,Fixed Deposit,Yes,Yes,Yes,No Debt,31340,5,No,Wealth Accumulation,Low,Digital Wallet,North
359,37,Female,Tier 3,Self-Employed,46480,100140,22,None,No,No,Yes,Personal Loan,11573,5,No,Education,Low,Bank Account,North
360,39,Male,Tier 3,Unemployed,166599,21781,20,Stocks,Yes,No,Yes,Home Loan,21409,1,Yes,Travel,Low,Digital Wallet,East
361,48,Male,Tier 3,Unemployed,38569,146587,44,Fixed Deposit,Yes,No,No,Home Loan,20434,8,Yes,Education,Medium,Digital Wallet,West
362,46,Female,Tier 2,Unemployed,26151,127358,40,None,Yes,Yes,Yes,Personal Loan,24464,5,Yes,Education,Low,Cash,Central
363,57,Male,Tier 1,Unemployed,59739,46133,29,None,Yes,Yes,Yes,Personal Loan,42840,5,Yes,Education,Medium,Digital Wallet,East
364,46,Female,Tier 3,Salaried,47954,107628,27,Stocks,No,No,Yes,Home Loan,48785,9,Yes,Education,Medium,Cash,East
365,43,Male,Tier 2,Salaried,124373,86946,16,None,Yes,Yes,No,No Debt,20662,8,Yes,Travel,Medium,Digital Wallet,Central
366,29,Female,Tier 2,Unemployed,181375,95058,38,Stocks,No,No,Yes,Credit Card Debt,18228,1,Yes,Travel,Low,Digital Wallet,Central
367,32,Male,Tier 1,Self-Employed,49700,53129,40,Stocks,Yes,Yes,No,No Debt,49223,3,Yes,Education,Medium,Cash,South
368,21,Female,Tier 2,Salaried,138728,18531,41,Mutual Funds,No,Yes,Yes,Personal Loan,7386,7,No,Business,High,Cash,West
369,21,Other,Tier 2,Student,81788,47038,7,Fixed Deposit,Yes,No,Yes,Home Loan,6862,1,No,Education,Low,Investment Platform,Central
